Settlement,Main_Dmg,X,Y
Ait Othmane,Damage,-8.35847,31.10653
Ait Othmane,Damage,-8.35846,31.10639
Ait Othmane,Damage,-8.35812,31.10666
Ait Othmane,Damage,-8.35827,31.10658
Ait Othmane,Damage,-8.3583,31.10649
Ait Othmane,Damage,-8.35834,31.10628
Ait Othmane,Damage,-8.35796,31.10656
Ait Othmane,Damage,-8.35802,31.10647
Ait Othmane,Damage,-8.35782,31.1067
Ait Othmane,Possible damage,-8.35795,31.10668
Ait Othmane,Damage,-8.35836,31.10635
Ait Othmane,Damage,-8.35807,31.1063
Ait Othmane,Damage,-8.35856,31.10616
Ait Othmane,Damage,-8.35787,31.1065
Ait Othmane,Damage,-8.35862,31.10684
Ait Othmane,Possible damage,-8.35817,31.10648
Ait Othmane,Damage,-8.35835,31.10609
Ait Othmane,Damage,-8.34871,31.10153
Ait Othmane,Damage,-8.34674,31.10159
Ait Othmane,Damage,-8.34697,31.10062
Ait Othmane,Damage,-8.3483,31.10066
Ait Othmane,Possible damage,-8.34935,31.10097
Ait Othmane,Possible damage,-8.34912,31.0988
Ait Othmane,Possible damage,-8.34933,31.09764
Ait Othmane,Possible damage,-8.349,31.09804
Ait Othmane,Damage,-8.34965,31.09713
Ait Othmane,Damage,-8.3485,31.09724
Ait Othmane,Possible damage,-8.34878,31.09722
Ait Othmane,Possible damage,-8.34815,31.09717
Ait Othmane,Damage,-8.34899,31.09767
Ait Othmane,Damage,-8.34354,31.17358
Ait Othmane,Possible damage,-8.34374,31.17324
Ait Othmane,Damage,-8.34333,31.1737
Ait Othmane,Damage,-8.34327,31.17363
Ait Othmane,Possible damage,-8.35155,31.16711
Ait Othmane,Possible damage,-8.35143,31.1671
Ait Othmane,Possible damage,-8.34936,31.16628
Ait Othmane,Damage,-8.35858,31.13859
Ait Othmane,Damage,-8.35864,31.1387
Ait Othmane,Damage,-8.35808,31.13911
Ait Othmane,Damage,-8.35833,31.13897
Ait Othmane,Possible damage,-8.35821,31.13906
Ait Othmane,Damage,-8.3585,31.13888
Ait Othmane,Damage,-8.3585,31.13896
Ait Othmane,Possible damage,-8.35829,31.13876
Ait Othmane,Damage,-8.35846,31.13865
Ait Othmane,Damage,-8.3793,31.15012
Ait Othmane,Damage,-8.39365,31.1553
Ait Othmane,Damage,-8.39234,31.15498
Ait Othmane,Damage,-8.39298,31.15519
Ait Othmane,Damage,-8.38595,31.16059
Ait Othmane,Damage,-8.38472,31.16117
Ait Othmane,Damage,-8.36985,31.1084
Ait Othmane,Damage,-8.3698,31.10829
Ait Othmane,Possible damage,-8.3688,31.10842
Ait Othmane,Possible damage,-8.34843,31.0971
Ait Othmane,Possible damage,-8.34833,31.097
Ait Othmane,Possible damage,-8.38363,31.15634
Ait Othmane,Damage,-8.38249,31.16918
Ait Othmane,Damage,-8.38206,31.16874
Ait Othmane,Damage,-8.38212,31.16886
Ait Othmane,Damage,-8.38259,31.16862
Ait Othmane,Damage,-8.38258,31.16876
Ait Othmane,Damage,-8.38155,31.18397
Ait Othmane,Possible damage,-8.33834,31.17872
Ait Othmane,Possible damage,-8.34057,31.18188
Ait Othmane,Possible damage,-8.32178,31.19131
Ait Othmane,Damage,-8.33105,31.16132
Ait Othmane,Possible damage,-8.33092,31.16159
Ait Othmane,Damage,-8.33129,31.16158
Ait Othmane,Possible damage,-8.33137,31.16149
Ait Othmane,Damage,-8.32941,31.16222
Ait Othmane,Possible damage,-8.32978,31.16119
Ait Othmane,Possible damage,-8.3297,31.16111
Ait Othmane,Damage,-8.32989,31.16109
Ait Othmane,Damage,-8.33003,31.16288
Ait Othmane,Damage,-8.30463,31.16645
Ait Othmane,Damage,-8.30492,31.16642
Ait Othmane,Possible damage,-8.30481,31.1665
Ait Othmane,Damage,-8.30534,31.16596
Ait Othmane,Damage,-8.30533,31.16654
Ait Othmane,Damage,-8.39344,31.15491
Ait Othmane,Damage,-8.39336,31.15516
Ait Othmane,Damage,-8.39277,31.15486
Ait Othmane,Damage,-8.39301,31.15548
Ait Othmane,Damage,-8.39303,31.15513
Ait Othmane,Damage,-8.39316,31.15493
Ait Othmane,Damage,-8.38552,31.16096
Ait Othmane,Damage,-8.38492,31.16064
Ait Othmane,Damage,-8.38452,31.16144
Ait Othmane,Damage,-8.38532,31.1618
Ait Othmane,Damage,-8.38544,31.16179
Ait Othmane,Damage,-8.38569,31.16223
Ait Othmane,Possible damage,-8.38595,31.16152
Ait Othmane,Damage,-8.386,31.16122
Ait Othmane,Damage,-8.3865,31.16102
Ait Othmane,Damage,-8.38654,31.16096
Ait Othmane,Damage,-8.38553,31.16168
Ait Othmane,Possible damage,-8.32996,31.16092
Ait Othmane,Damage,-8.32979,31.16248
Ait Othmane,Damage,-8.32882,31.162
Ait Othmane,Damage,-8.34183,31.1766
Ait Othmane,Damage,-8.3418,31.1765
Ait Othmane,Possible damage,-8.34439,31.16902
Ait Othmane,Possible damage,-8.33391,31.17212
Ait Othmane,Damage,-8.32343,31.10532
Ait Othmane,Damage,-8.32358,31.10525
Ait Othmane,Damage,-8.32283,31.10562
Ait Othmane,Damage,-8.32264,31.1057
Ait Othmane,Damage,-8.32319,31.10552
Ait Othmane,Damage,-8.32395,31.10507
Ait Othmane,Damage,-8.32324,31.10437
Ait Othmane,Damage,-8.32292,31.10459
Ait Othmane,Possible damage,-8.32253,31.10448
Ait Othmane,Damage,-8.32152,31.10625
Ait Othmane,Damage,-8.3209,31.10602
Ait Othmane,Damage,-8.32091,31.10635
Ait Othmane,Damage,-8.32073,31.10647
Ait Othmane,Damage,-8.32062,31.10639
Ait Othmane,Damage,-8.32099,31.10655
Ait Othmane,Possible damage,-8.32115,31.10656
Ait Othmane,Damage,-8.32064,31.10665
Ait Othmane,Damage,-8.32084,31.10683
Ait Othmane,Damage,-8.32061,31.10679
Ait Othmane,Damage,-8.32055,31.10671
Ait Othmane,Damage,-8.32041,31.10669
Ait Othmane,Damage,-8.32034,31.10681
Ait Othmane,Damage,-8.32049,31.10683
Ait Othmane,Damage,-8.32039,31.10648
Ait Othmane,Damage,-8.32032,31.1066
Ait Othmane,Damage,-8.32159,31.10654
Ait Othmane,Damage,-8.32223,31.10725
Ait Othmane,Damage,-8.32241,31.10737
Ait Othmane,Damage,-8.32235,31.1073
Ait Othmane,Damage,-8.31779,31.11725
Ait Othmane,Damage,-8.31762,31.11757
Ait Othmane,Damage,-8.31787,31.11739
Ait Othmane,Damage,-8.31757,31.11708
Ait Othmane,Damage,-8.31729,31.11879
Ait Othmane,Damage,-8.31474,31.13475
Ait Othmane,Damage,-8.31416,31.13507
Ait Othmane,Damage,-8.31391,31.13646
Ait Othmane,Damage,-8.31297,31.13695
Ait Othmane,Damage,-8.313,31.13704
Ait Othmane,Damage,-8.31305,31.1369
Ait Othmane,Damage,-8.31269,31.13726
Ait Othmane,Damage,-8.31276,31.13717
Ait Othmane,Damage,-8.31316,31.13695
Ait Othmane,Possible damage,-8.31351,31.13748
Ait Othmane,Damage,-8.31315,31.13797
Ait Othmane,Damage,-8.31247,31.13826
Ait Othmane,Damage,-8.3125,31.13815
Ait Othmane,Damage,-8.31233,31.13832
Ait Othmane,Damage,-8.31207,31.13801
Ait Othmane,Damage,-8.31213,31.13794
Ait Othmane,Damage,-8.31258,31.13861
Ait Othmane,Damage,-8.31272,31.13845
Ait Othmane,Damage,-8.31297,31.13859
Ait Othmane,Damage,-8.31323,31.13859
Ait Othmane,Damage,-8.31323,31.13849
Ait Othmane,Damage,-8.31286,31.13845
Ait Othmane,Damage,-8.31229,31.1385
Ait Othmane,Damage,-8.31281,31.13819
Ait Othmane,Damage,-8.31308,31.13773
Ait Othmane,Possible damage,-8.31403,31.13755
Ait Othmane,Damage,-8.31267,31.13827
Ait Othmane,Possible damage,-8.31318,31.13838
Ait Othmane,Damage,-8.31201,31.13963
Ait Othmane,Damage,-8.31164,31.14005
Ait Othmane,Damage,-8.31178,31.13984
Ait Othmane,Possible damage,-8.31151,31.13992
Ait Othmane,Damage,-8.31333,31.14034
Ait Othmane,Damage,-8.36651,31.16237
Ait Othmane,Damage,-8.36621,31.16241
Ait Othmane,Damage,-8.36613,31.16228
Ait Othmane,Damage,-8.36631,31.16236
Ait Othmane,Possible damage,-8.36653,31.16247
Ait Othmane,Damage,-8.36641,31.16254
Ait Othmane,Damage,-8.36663,31.16185
Ait Othmane,Damage,-8.36677,31.16165
Ait Othmane,Possible damage,-8.36671,31.16174
Ait Othmane,Damage,-8.36665,31.16178
Ait Othmane,Damage,-8.36694,31.16166
Ait Othmane,Damage,-8.36682,31.16181
Ait Othmane,Damage,-8.3453,31.16202
Ait Othmane,Damage,-8.34542,31.16201
Ait Othmane,Damage,-8.34557,31.16193
Ait Othmane,Possible damage,-8.38669,31.12916
Ait Othmane,Damage,-8.3744,31.12653
Ait Othmane,Damage,-8.39371,31.12761
Ait Othmane,Damage,-8.39365,31.12758
Ait Othmane,Damage,-8.39348,31.12755
Ait Othmane,Possible damage,-8.39416,31.12779
Ait Othmane,Damage,-8.33984,31.14806
Ait Othmane,Damage,-8.3403,31.15045
Ait Othmane,Damage,-8.34018,31.15048
Ait Othmane,Damage,-8.34001,31.15085
Ait Othmane,Damage,-8.33716,31.15094
Ait Othmane,Possible damage,-8.33707,31.15104
Ait Othmane,Possible damage,-8.34342,31.15735
Ait Othmane,Damage,-8.34424,31.14288
Ait Othmane,Damage,-8.34428,31.14279
Ait Othmane,Damage,-8.34432,31.14266
Ait Othmane,Damage,-8.34439,31.14256
Ait Othmane,Damage,-8.34448,31.14244
Ait Othmane,Damage,-8.34448,31.14232
Ait Othmane,Damage,-8.37038,31.188
Ait Othmane,Damage,-8.37036,31.18809
Ait Othmane,Possible damage,-8.3918,31.15795
Ait Othmane,Possible damage,-8.3916,31.15758
Ait Othmane,Damage,-8.39133,31.15733
Ait Othmane,Damage,-8.39137,31.15196
Ait Othmane,Damage,-8.39224,31.15323
Ait Othmane,Damage,-8.39233,31.15393
Ait Othmane,Possible damage,-8.39397,31.15352
Ait Othmane,Possible damage,-8.39286,31.1543
Ait Othmane,Possible damage,-8.39368,31.15434
Ait Othmane,Damage,-8.39285,31.15502
